lon,lat,verified
10.34669,46.66662,1
10.08771,46.71794,1
10.01804,46.62953,1
10.27903,46.62332,1
10.28377,46.71321,1
5.7032,59.0984,1
8.686967,50.132067,1
16.71056,49.21306,1
13.09478,55.63304,1
14.26409,55.65862,1
7.868611,46.2075,1
37.663826,54.366748,1
38.915639,53.576389,1
38.913694,53.575972,1
-4.15,51.84,1
27.059999,58.099998,1
-3.52,51.549999,1
11.420125,43.802319,1
10.631605,44.115679,1
6.8732,59.8391,1
10.5294,59.5339,1
11.42014,43.80233,1
11.432583,44.121361,1
11.424881,44.146741,1
11.51693,42.82588,1
11.71164,43.876681,1
11.426096,44.151941,1
11.481944,44.175174,1
11.546825,44.108831,1
11.425273,44.149328,1
11.49833,44.14761,1
2.1672,41.3888,1
12.55889,51.75639,1
12.41972,52.00306,1
10.77722,51.74139,1
9.199,62.5799,1
11.4001,59.1179,1
9.7723,59.6753,1
11.1817,59.2282,1
11.6042,59.1827,1
10.6191,59.4304,1
11.4005,59.0986,1
6.9511,62.8991,1
10.6791,59.3434,1
11.4306,59.1299,1
10.8771,59.378,1
11.0373,59.0257,1
10.903,59.2595,1
11.579,59.3221,1
11.0365,59.0567,1
10.6312,59.4635,1
10.828,59.3325,1
10.5955,59.4343,1
11.5587830887124,59.3313437067958,1
10.6135,59.4431,1
6.9583,62.8947,1
15.97389,48.81917,1
16.78056,49.50722,1
20.31425,48.77311,1
13.47722,48.21222,1
13.50833,48.16111,1
11.5173,58.04496,1
15.10595,58.69186,1
14.171525,59.711033,1
12.89922,59.65821,1
11.21861,52.85611,1
11.57194,52.3475,1
11.17889,52.89556,1
24.96,41.33,1
24.86444,41.26361,1
24.91972,41.28056,1
24.89583,41.315,1
24.97056,41.33833,1
24.12944,41.41472,1
24.00917,41.30639,1
24.46583,41.36667,1
24.64389,41.11194,1
12.31,51.93167,1
11.74111,51.15056,1
12.40333,51.94,1
14.05,53.94944,1
17.47278,49.165,1
17.46028,49.1725,1
11.73847,58.65569,1
11.5066,58.1451,1
11.55974,57.96458,1
11.84951,58.67722,1
11.55966,58.69494,1
11.46451,58.58542,1
11.69085,58.43459,1
15.60802,58.3676,1
11.68133,58.24067,1
15.75945,40.4975,1
11.007333,46.857,1
10.032767,50.193783,1
9.951833,50.725183,1
9.979967,50.3701,1
10.134367,50.769733,1
9.940917,50.49825,1
10.006667,50.458617,1
9.948983,50.713333,1
9.177117,50.644783,1
9.521433,50.592967,1
9.193817,50.632333,1
9.179583,50.63455,1
9.180333,50.639017,1
9.1705,50.650267,1
8.600278,50.618056,1
8.5531,50.0981,1
10.6601,47.290067,1
8.692667,50.113417,1
9.186767,50.6498,1
9.185867,50.655083,1
9.669833,50.590783,1
12.62487,59.67067,1
1.98,42.36,1
-5.21,43.08,1
-3.11,42.82,1
-2.94,42.68,1
-3.38,37.09,1
2.82,42.63,1
0.28,40.68,1
-2.9,42.8,1
-2.64,42.61,1
-0.63,42.76,1
-0.06,42.66,1
-3.16,42.71,1
2.13,42.4,1
1.85,42.31,1
1.36,42.4,1
1.49,42.22,1
1.97,42.31,1
1.24,42.39,1
0.51,42.38,1
1.95,42.34,1
1.11,42.48,1
0.51,42.47,1
0.87,42.57,1
0.75,42.48,1
1.02,41.44,1
1.09,42.57,1
1.67,41.6,1
1.6,42.31,1
2.26,41.79,1
1.74,41.59,1
0.63,42.47,1
2.4,41.8,1
0.63,42.47,1
0.74,42.66,1
2.51,41.88,1
0.33,40.94,1
2.08,41.45,1
0.84,41.28,1
-3.8,40.72,1
0.96,42.06,1
-3.39,37.1,1
2.62,42.57,1
-0.58,42.69,1
-0.24,42.31,1
-0.68,42.85,1
-4.79,43.08,1
1.85,42.4,1
1.85,42.38,1
1.96,42.35,1
0.51,42.47,1
1.11,42.57,1
1.36,42.4,1
1.36,42.4,1
0.75,42.48,1
0.75,42.57,1
1.85,42.31,1
0.75,42.48,1
0.63,42.38,1
1.13,42.57,1
1.1,42.63,1
1.06,42.57,1
1.93,41.36,1
1.09,42.58,1
1.48,42.31,1
1.24,42.51,1
0.87,42.57,1
0.87,42.48,1
2.44,42.27,1
2.58,41.78,1
-0.48,41.73,1
2.25,48.5,1
1.82992,48.64374,1
6.62414,46.52087,1
15.47611,47.05417,1
22.416667,58.25,1
24.416667,59.35,1
24.583333,57.95,1
26.416667,58.25,1
25.25,59.15,1
-6.86916,40.41328,1
-6.63505,41.82387,1
16.81947,58.36077,1
13.09,47.72,1
13.09,47.73,1
13.01,47.75,1
13.1,47.7,1
12.46,47.57,1
12.86,47.2,1
13.21,47.06,1
13.14,47.74,1
12.85,47.47,1
13.14,47.12,1
12.45,47.56,1
13.1,47.74,1
13.18,47.79,1
11.95,47.35,1
13.48,47.22,1
10.27,47.13,1
12.3,47.23,1
11.03,46.85,1
12.16,46.98,1
12.79,46.87,1
12.33,47.58,1
12.98,47.07,1
12.83,47.49,1
14.41,47.15,1
12.42,47.56,1
12.18,47.22,1
12.79,47.07,1
13.13,47.74,1
12.46,47.45,1
13.69,46.62,1
13.05,47.91,1
13.14,47.11,1
13.22,47.43,1
13.06,47.06,1
13.1,47.08,1
13.1,47.11,1
12.15,47.22,1
13.12,47.4,1
12.53,47.29,1
13.46,47.22,1
13.04,47.8,1
13.11,47.17,1
14.08,47.11,1
12.67,47.58,1
12.76,47.05,1
13.1,47.01,1
11.94,47.4,1
13.09,47.08,1
13.02,47.07,1
12.83,47.28,1
13.02,47.79,1
14.27,47.25,1
13.11,47.8,1
13.93,47.1,1
13.49,47.21,1
12.74,47.33,1
12.96,47.29,1
11.04,46.88,1
14.06,47.53,1
12.7,47.3,1
13.17,47.06,1
13.13,47.11,1
13.02,47.31,1
13.87,46.63,1
13.22,47.41,1
13.12,47.11,1
13.02,47.78,1
12.51,47.29,1
12.87,47.06,1
13.05,47.84,1
13.74,47.24,1
13.03,47.06,1
13.15,47.13,1
12.69,47.59,1
13.16,47.14,1
13.65,47.56,1
13.06,47.77,1
12.99,47.23,1
12.3,47.33,1
11.02,46.87,1
13.1,47.8,1
13.07,48.24,1
13.26,47.49,1
12.88,47.99,1
12.99,47.21,1
